field,topic_title,topic_duration,comment_author,comment_date,comment_text,processing_comment_text
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,riad,الخميس 31 أكتوبر 2019 - 17:27,هناك الكثير من التعليقات السلبية، التي تريد من المغرب حل المشكل بضربة عصا سحرية...هذه القضية تحتاج إلى صبر استراتيجي كبير وطول نفس، المغرب لو أراد حل المشكل منذ الغد بحل غير حكيم، لكان قبل بالاستفتاء، والذي مؤكد سيكون في صالحه، لأن البوليساريو مجرد عصابة ماركسية مسلحة، تستعمل خطاب التميز العرقي، وليس لديها مشروع دولة، لكن المغرب سيخسر الكثير إذا قبل بهذا الحل، لأنه بذلك سيكون ساوم في أراضيه، وشكك في سيادته عليها، وممكن أن يقام استفتاء كل 20 سنة لابتزازه، وقد لايكون في صالحه مرة أخرى...، هذا فقط من أجل الشرح، أما على أرض الواقع، فالمغرب قوة إقليمية فاعلة، والعالم ينتظر فقط أن تتلاشي البوليزاريو مع الوقت، لأنها أداة فقط في يد آخرين، ولم تحقق شيئا كما قال سعداني، وتراجع مجلس الأمن عن التمديد 6 أشهر إلى سنة، يعني أنه يريد من البوليساريو وداعميها تليين مواقفهم، وهو يميل الكفة بشكل واضح للمغرب.,الكثير التعليقات السلبية تريد المغرب حل المشكل بضربة عصا سحرية القضية تحتاج استراتيجي كبير وطول المغرب أراد حل المشكل الغد بحل حكيم لكان بالاستفتاء مؤكد سيكون صالحه البوليساريو مجرد عصابة ماركسية مسلحة تستعمل خطاب التميز العرقي لديها مشروع دولة المغرب سيخسر الكثير الحل لأنه بذلك سيكون ساوم أراضيه وشكك سيادته وممكن يقام استفتاء لابتزازه لايكون صالحه مرة أخرى الشرح أرض الواقع فالمغرب إقليمية فاعلة والعالم ينتظر تتلاشي البوليزاريو لأنها أداة يد آخرين تحقق شيئا سعداني وتراجع مجلس الأمن التمديد أشهر يعني يريد البوليساريو وداعميها تليين مواقفهم يميل الكفة واضح للمغرب 
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,مغربي رجاوي حر أصيل,الخميس 31 أكتوبر 2019 - 17:37,الحمد لله الصورة تتضح والجارة تنفضح وسيأتي النصر إنشاء الله والصحراء مغربية الله ينصر سيدنا والشعب المغربي ككل,الحمد لله الصورة تتضح والجارة تنفضح وسيأتي النصر إنشاء الله والصحراء مغربية الله ينصر سيدنا والشعب المغربي ككل
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,افران الاطلس المتوسط,الخميس 31 أكتوبر 2019 - 17:38,لماذا الامم المتحدة لم تؤكد هذا الامر وتصرح به علانية امام مجلس الامن . وتقول الصحراء مغربية لجزائر ان تطلق سراح الصحراويين للعودة الى وطنهم دون أي تبادل ولا أي شيء,لماذا الامم المتحدة تؤكد الامر وتصرح علانية مجلس الامن وتقول الصحراء مغربية لجزائر تطلق سراح الصحراويين للعودة وطنهم تبادل شيء
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,عبد الرحيم الورديغي.المؤرخ,الخميس 31 أكتوبر 2019 - 17:38,حسنا يا بوريطة سر على مهلك كما يقول المغني محمد عبد الوهاب.,حسنا بوريطة سر مهلك يقول المغني محمد عبد الوهاب 
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,Gala,الخميس 31 أكتوبر 2019 - 17:56,هنيئا للديبلوماسية المغربية بكل مكوناتها. إلى الأمام إخواني,هنيئا للديبلوماسية المغربية بكل مكوناتها الأمام إخواني
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,أمين,الخميس 31 أكتوبر 2019 - 18:00,حل سياسي متوافق عليه من الأطراف الأربعة يعني استبعاد تدخل باقي الدول إلافريقية. جنوب إفريقيا نمودجا. كما يعني المغرب في واد والثلاثة الآخرون في واد ....وربما تبقى المواءد المستديرة في نقطة الصفر. لو ركزنا على التاريخ واستعنا بالوثائق التاريخية الفرنسية والإسبانية مند 1750 لكانت المملكة المغربية ممتدة إلى ما كانت عليه قبل مؤتمر برلين كما أكد سعداني جازاه الله على جهره بالحق,حل سياسي متوافق الأطراف الأربعة يعني استبعاد تدخل باقي الدول إلافريقية جنوب إفريقيا نمودجا يعني المغرب واد والثلاثة الآخرون واد وربما تبقى المواءد المستديرة نقطة الصفر ركزنا التاريخ واستعنا بالوثائق التاريخية الفرنسية والإسبانية مند لكانت المملكة المغربية ممتدة مؤتمر برلين أكد سعداني جازاه الله جهره بالحق
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,mimoun,الخميس 31 أكتوبر 2019 - 18:09,قل جاء الحق وزهق الباطل، إن الباطل كان زهوقا. صدق الله العظيم. ونحن المغاربة الأحرار أبناء هذا الوطن الطيب بأهله وملكه العزيز علينا حتى النخاع، نفدي الوطن بالدم، لا نملك إلا أن نقول لابد للحق أن ينتصر عاجلا غير آجل، ولا شك في ذلك، وبيقين في الله إن شاءالله، لأن ما بني على باطل فهو باطل. وأعداء الوطن إلى زوال بدون شك ! والسلام.,قل جاء الحق وزهق الباطل الباطل زهوقا صدق الله العظيم ونحن المغاربة الأحرار أبناء الوطن الطيب بأهله وملكه العزيز علينا النخاع نفدي الوطن بالدم نملك نقول لابد للحق ينتصر عاجلا آجل شك وبيقين الله شاءالله بني باطل باطل وأعداء الوطن زوال بدون شك والسلام 
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,hassan ,الخميس 31 أكتوبر 2019 - 18:16,الحمد لله رب العالمين كلمة حق ستنتصر هذا ماصارة فيه المغرب لانه عنده رجال حكماء وخبراء وعقلاء في السياسية وسير بهدوء رغم الضجيج والقيل والقال فهو تابت بسياسته الحكيمة ارشيدة للملك محمد السادس كما قالت المجموعة الغناىية اليوم دبا يصفا الحال والحمد لله اننا في الطريق والباطل سينهزيم على اعداء الوطن المغرب بلاد السيلم والسلام والأمن والأمان لايقبل ان يتدخل في شونه الداخلي احد او يفتي عليه احد وهو يمد يديه للجميع فكيف اصبحتم الان الإرهاب والذل والعار البتبوليزايو انكم لعبة بين اليدي من يسيروكم وستندمون على مافات تحياتي لاخواننا الصحراويين انتموا الى ارض الوطن الحبيب المملكة المغربية الشريفة وتعلمون شعار المغرب طويل وعريض برايته الحمراء ونجمته الخضراء الله الوطن الملك,الحمد لله رب العالمين كلمة حق ستنتصر ماصارة المغرب لانه عنده رجال حكماء وخبراء وعقلاء السياسية وسير بهدوء رغم الضجيج والقيل والقال تابت بسياسته الحكيمة ارشيدة للملك محمد السادس قالت المجموعة الغناىية دبا يصفا الحال والحمد لله اننا الطريق والباطل سينهزيم اعداء الوطن المغرب بلاد السيلم والسلام والأمن والأمان لايقبل يتدخل شونه الداخلي يفتي يمد يديه للجميع فكيف اصبحتم الإرهاب والذل والعار البتبوليزايو انكم لعبة اليدي يسيروكم وستندمون مافات تحياتي لاخواننا الصحراويين انتموا ارض الوطن الحبيب المملكة المغربية الشريفة وتعلمون شعار المغرب طويل وعريض برايته الحمراء ونجمته الخضراء الله الوطن الملك
politique,بوريطة المغرب يصون مكتسبات الحكم الذاتي ويُسقط الحلول الوهمية,today,المغترب الحزين,الخميس 31 أكتوبر 2019 - 18:28,الجار اختلق عداوة ظنا منه سيقزم المغرب ونصبح نطلب منه الاذن للخروج الى افريقيا لكن المرحوم الحسن الثاني وبما انه رجل قانون عرف كيف يسترجع الاقاليم المسلوبة ولو لا المؤامرات التي حيكت ضده في اواخر الستينيات واوئل السبعينيات من طرف ضباط فرنسا وبعض الخونة لاسترجعنا الصحراء وكل الثغور المحتلة,الجار اختلق عداوة ظنا سيقزم المغرب ونصبح نطلب الاذن للخروج افريقيا المرحوم الحسن وبما رجل قانون عرف يسترجع الاقاليم المسلوبة المؤامرات حيكت ضده اواخر الستينيات واوئل السبعينيات طرف ضباط فرنسا وبعض الخونة لاسترجعنا الصحراء وكل الثغور المحتلة
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,حسن النتيفي,الخميس 31 أكتوبر 2019 - 16:33,هده توابت و مواقف وطنية و غير قابلة للنقاش او جدال مند زمان و زد على ذالك قسم المسيرة وتقارير الأمم المتحدة ومجلس الأمن . ما يوضح لنا انك سي العثماني ام تخبرنا باي جديد مجرد تصريح من أجل التصريح وبس .اما الصحراء فهي مغربية و موثقة الى أن يرث الله الارض ومن عليها شاء من شاء وكره من كره,هده توابت مواقف وطنية قابلة للنقاش جدال مند زمان زد ذالك قسم المسيرة وتقارير الأمم المتحدة ومجلس الأمن يوضح انك سي العثماني ام تخبرنا باي جديد مجرد تصريح التصريح وبس الصحراء فهي مغربية موثقة يرث الله الارض شاء شاء وكره كره
